GROUP_NAME,SEASON DESC,LOCATION,LOCATION_NAME,NETTOTAL_QTY,NETTOTAL_COST,System,Status,AR Comments,Std Brand,Model,Closed_status,std_season,season_bucket,Continuity_factor,provision_%_policy,provision_amount_policy,location_catergory,additional_provision,Total Provision
AL MALKI,SS22-KSA,800,DC,0.0,0.0,V-16,Closed,Consider,AL MALKI,Buying Pull,Closed,SS22,bucket2,0.4,0.15,0.0,"Store, Online & WH",0.0,0.0
AL MALKI,SS22-KSA,14513262,Online - VogaCloset The Children's Place,0.0,0.0,V-16,Closed,Consider,AL MALKI,Buying Pull,Closed,SS22,bucket2,0.4,0.15,0.0,"Store, Online & WH",0.0,0.0
AL MALKI,SS22-KSA,30313294,Online - VogaCloset AL MALKI,0.0,0.0,V-16,Closed,Consider,AL MALKI,Buying Pull,Closed,SS22,bucket2,0.4,0.15,0.0,"Store, Online & WH",0.0,0.0
ALO YOGA,AW23-KSA,800,DC,0.0,0.0,V-16,Closed,Consider,ALO YOGA,Buying Pull,Closed,AW23,bucket1,0.4,0.0,0.0,"Store, Online & WH",0.0,0.0
ALO YOGA,AW23-KSA,30210716,Alo Yoga Kingdom Center - Riyadh,0.0,0.0,V-16,Closed,Consider,ALO YOGA,Buying Pull,Closed,AW23,bucket1,0.4,0.0,0.0,"Store, Online & WH",0.0,0.0
ALO YOGA,AW23-KSA,30210736,Alo Yoga Nakheel Mall - Riyadh,0.0,0.0,V-16,Closed,Consider,ALO YOGA,Buying Pull,Closed,AW23,bucket1,0.4,0.0,0.0,"Store, Online & WH",0.0,0.0
ALO YOGA,AW23-KSA,30210749,Alo Yoga Kingdom Center (EXT) - Riyadh,0.0,0.0,V-16,Closed,Consider,ALO YOGA,Buying Pull,Closed,AW23,bucket1,0.4,0.0,0.0,"Store, Online & WH",0.0,0.0
ALO YOGA,AW23-KSA,30213332,Online - Mono Alo Yoga,0.0,0.0,V-16,Closed,Consider,ALO YOGA,Buying Pull,Closed,AW23,bucket1,0.4,0.0,0.0,"Store, Online & WH",0.0,0.0
ALO YOGA,AW23-KSA,30213343,Alo Yoga Extra Storage OTS 3PL - Riyadh,0.0,0.0,V-16,Closed,Consider,ALO YOGA,Buying Pull,Closed,AW23,bucket1,0.4,0.0,0.0,"Store, Online & WH",0.0,0.0
ALO YOGA,AW23-KSA,30213603,KSA_Leftovers_Alo Yoga,0.0,7.5417,V-16,Closed,Consider,ALO YOGA,Buying Pull,Closed,AW23,bucket1,0.4,0.0,0.0,Leftover,3.77085,3.77085
