s1,s2,s3,s4,Dr/(CR),s5
101.0,1004.0,127.0,10272.0,90198.74765,63002
101.0,1006.0,127.0,10674.0,277630.2493,63002
101.0,1008.0,147.0,10225.0,620.024442,63002
101.0,1009.0,147.0,10167.0,612.554514,63002
101.0,1012.0,147.0,10153.0,481.543794,63002
101.0,1012.0,169.0,10124.0,-0.00235,63002
101.0,1013.0,147.0,10531.0,2575.219242,63002
101.0,1021.0,127.0,10377.0,135.1663,63002
101.0,1021.0,127.0,10747.0,24858.320999999996,63002
101.0,1021.0,127.0,10748.0,5631.27415,63002
101.0,1021.0,147.0,10323.0,94.06593,63002
101.0,1021.0,195.0,10552.0,3356.3329320000003,63002
101.0,1022.0,147.0,10327.0,355.337136,63002
101.0,1024.0,147.0,10447.0,1350.16137,63002
101.0,1025.0,116.0,13858.0,606.18985,63002
101.0,1025.0,127.0,10449.0,264202.38595,63002
101.0,1025.0,145.0,13858.0,2952.31275,63002
101.0,1025.0,147.0,10426.0,1164.84549,63002
101.0,1025.0,195.0,10689.0,235.423404,63002
101.0,1025.0,296.0,10691.0,115540.422,63002
101.0,1039.0,195.0,10688.0,1329.6066840000003,63002
101.0,1042.0,127.0,10693.0,227518.68385,63002
101.0,1042.0,195.0,10694.0,839.9107560000001,63002
101.0,1042.0,296.0,10692.0,193537.16760000002,63002
101.0,1301.0,117.0,13328.0,0.2565,63002
101.0,1301.0,127.0,10754.0,255258.67075,63002
101.0,1301.0,127.0,13331.0,-0.09059999999999999,63002
101.0,1303.0,117.0,13087.0,-30.99055,63002
101.0,1303.0,127.0,13005.0,-0.0568,63002
101.0,1303.0,147.0,13078.0,30.590999999999998,63002
101.0,1304.0,117.0,13035.0,0.01095,63002
101.0,1304.0,127.0,13185.0,-1.63455,63002
101.0,1307.0,116.0,13250.0,-0.0040999999999999995,63002
101.0,1307.0,117.0,13251.0,0.66055,63002
101.0,1307.0,127.0,13152.0,-0.0625,63002
101.0,1405.0,147.0,14095.0,203.75957400000001,63002
101.0,1405.0,195.0,14281.0,1906.2901920000002,63002
101.0,1409.0,127.0,14135.0,272313.0079,63002
101.0,1410.0,127.0,14185.0,-0.27125,63002
101.0,1410.0,195.0,14344.0,2763.1184040000003,63002
101.0,1414.0,147.0,14157.0,377.126784,63002
101.0,1414.0,195.0,14337.0,3470.618016,63002
101.0,1422.0,147.0,14210.0,213.836532,63002
101.0,1422.0,195.0,14289.0,4191.122904,63002
101.0,1706.0,127.0,17312.0,-0.7905500000000001,63002
101.0,1707.0,127.0,17336.0,78186.10535,63002
101.0,1707.0,145.0,17180.0,141.7732,63002
101.0,1707.0,147.0,17263.0,150.671916,63002
101.0,1707.0,195.0,17805.0,2712.39117,63002
101.0,1711.0,127.0,17317.0,74583.35800000001,63002
101.0,1711.0,147.0,17254.0,340.22925,63002
101.0,1711.0,195.0,17567.0,4086.8893860000003,63002
101.0,1712.0,116.0,13859.0,232.2099,63002
101.0,1712.0,127.0,17268.0,104215.68755,63002
101.0,1712.0,145.0,13859.0,913.92955,63002
101.0,1712.0,147.0,17114.0,89.296392,63002
101.0,1712.0,195.0,17549.0,7274.093561999999,63002
101.0,1712.0,296.0,17720.0,361454.5296,63002
101.0,1716.0,127.0,17260.0,158501.92445,63002
101.0,1716.0,147.0,17163.0,183.25209,63002
