s1,s2,s3,s4,Dr/(CR),s5
101.0,0.0,0.0,0.0,-29542807.35,23993
101.0,0.0,0.0,13307.0,0.08,23993
101.0,0.0,0.0,13622.0,0.46,23993
101.0,0.0,0.0,13623.0,-0.4,23993
101.0,0.0,0.0,13627.0,-0.49,23993
101.0,0.0,0.0,13664.0,0.01,23993
101.0,0.0,0.0,13675.0,-0.11,23993
101.0,0.0,0.0,17110.0,0.3,23993
101.0,0.0,0.0,99003.0,29542807.37,23993
101.0,0.0,0.0,99127.0,0.01,23993
101.0,0.0,0.0,99150.0,0.3,23993
101.0,0.0,0.0,99159.0,0.24,23993
101.0,0.0,0.0,99166.0,0.23,23993
101.0,0.0,0.0,99170.0,0.12,23993
101.0,0.0,0.0,99221.0,-0.33,23993
101.0,0.0,0.0,99999.0,-0.01,23993
101.0,0.0,113.0,17110.0,-0.3,23993
101.0,0.0,128.0,13623.0,0.4,23993
101.0,0.0,128.0,13664.0,-0.01,23993
101.0,0.0,150.0,99150.0,-0.3,23993
101.0,0.0,159.0,99159.0,-0.24,23993
101.0,0.0,195.0,13622.0,-0.46,23993
101.0,0.0,199.0,99999.0,0.01,23993
101.0,0.0,297.0,13307.0,-0.47,23993
101.0,0.0,297.0,13627.0,0.49,23993
101.0,0.0,298.0,13675.0,0.46,23993
101.0,0.0,298.0,99221.0,-0.09,23993
101.0,1001.0,0.0,10234.0,-0.06,23993
101.0,1001.0,0.0,10368.0,0.44,23993
101.0,1001.0,102.0,99999.0,0.01,23993
101.0,1001.0,107.0,10368.0,-0.44,23993
101.0,1001.0,143.0,10234.0,0.06,23993
101.0,1001.0,199.0,99999.0,-0.01,23993
101.0,1002.0,0.0,10049.0,-0.2,23993
101.0,1002.0,0.0,10165.0,-0.27,23993
101.0,1002.0,103.0,10165.0,0.27,23993
101.0,1004.0,0.0,10021.0,0.48,23993
101.0,1004.0,0.0,10023.0,-0.44,23993
101.0,1004.0,0.0,10062.0,-0.29,23993
101.0,1004.0,0.0,10246.0,-0.19,23993
101.0,1004.0,0.0,10272.0,-0.48,23993
101.0,1004.0,103.0,10021.0,-0.48,23993
101.0,1004.0,107.0,10272.0,0.48,23993
101.0,1004.0,127.0,10272.0,-823.3776500000095,23993
101.0,1004.0,128.0,10023.0,0.44,23993
101.0,1004.0,145.0,10246.0,0.19,23993
101.0,1005.0,0.0,10024.0,-0.34,23993
101.0,1005.0,0.0,10253.0,0.43,23993
101.0,1005.0,103.0,10024.0,0.34,23993
101.0,1005.0,145.0,10253.0,-0.43,23993
101.0,1006.0,0.0,10033.0,-0.17,23993
101.0,1006.0,0.0,10034.0,0.15,23993
101.0,1006.0,0.0,10260.0,0.08,23993
101.0,1006.0,0.0,10264.0,0.08,23993
101.0,1006.0,0.0,10460.0,0.47,23993
101.0,1006.0,0.0,10674.0,-0.12,23993
101.0,1006.0,103.0,10033.0,0.17,23993
101.0,1006.0,103.0,10264.0,-0.08,23993
101.0,1006.0,107.0,10674.0,0.12,23993
101.0,1006.0,127.0,10674.0,29776.690699999977,23993
101.0,1006.0,139.0,10260.0,-0.08,23993
101.0,1006.0,167.0,10460.0,-0.47,23993
101.0,1008.0,0.0,10052.0,-0.12,23993
101.0,1008.0,0.0,10065.0,-0.36,23993
101.0,1008.0,0.0,10166.0,-0.17,23993
101.0,1008.0,0.0,10225.0,0.29,23993
101.0,1008.0,0.0,10241.0,-0.02,23993
101.0,1008.0,0.0,10254.0,-0.13,23993
101.0,1008.0,0.0,10397.0,-0.43,23993
101.0,1008.0,0.0,10521.0,0.3,23993
101.0,1008.0,0.0,10546.0,-0.01,23993
101.0,1008.0,0.0,10682.0,0.16,23993
101.0,1008.0,0.0,10686.0,-0.43,23993
101.0,1008.0,0.0,10690.0,-0.15,23993
101.0,1008.0,103.0,10052.0,0.12,23993
101.0,1008.0,103.0,10254.0,0.13,23993
101.0,1008.0,116.0,10546.0,0.01,23993
101.0,1008.0,117.0,10690.0,0.15,23993
101.0,1008.0,125.0,10397.0,0.43,23993
101.0,1008.0,125.0,10686.0,0.43,23993
101.0,1008.0,128.0,10166.0,0.17,23993
101.0,1008.0,139.0,10241.0,0.02,23993
101.0,1008.0,143.0,10682.0,-0.16,23993
101.0,1008.0,144.0,10225.0,-0.29,23993
101.0,1008.0,147.0,10225.0,-0.004442000001063207,23993
101.0,1008.0,166.0,10521.0,-0.3,23993
101.0,1008.0,170.0,10680.0,116671.36,23993
101.0,1008.0,321.0,13854.0,23384.04,23993
101.0,1009.0,0.0,10080.0,-0.44,23993
101.0,1009.0,0.0,10090.0,-0.12,23993
101.0,1009.0,0.0,10092.0,-0.28,23993
101.0,1009.0,0.0,10167.0,0.45,23993
101.0,1009.0,0.0,10169.0,-0.3,23993
101.0,1009.0,0.0,10240.0,-0.38,23993
101.0,1009.0,0.0,10255.0,-0.1,23993
101.0,1009.0,0.0,10389.0,0.44,23993
101.0,1009.0,0.0,10556.0,0.24,23993
101.0,1009.0,0.0,10676.0,0.19,23993
101.0,1009.0,0.0,10685.0,-0.1,23993
101.0,1009.0,103.0,10092.0,0.28,23993
101.0,1009.0,103.0,10255.0,0.1,23993
101.0,1009.0,110.0,10676.0,-0.19,23993
101.0,1009.0,116.0,10556.0,-0.24,23993
101.0,1009.0,120.0,10169.0,0.3,23993
101.0,1009.0,125.0,10685.0,0.1,23993
101.0,1009.0,128.0,10080.0,0.44,23993
101.0,1009.0,139.0,10240.0,0.38,23993
101.0,1009.0,141.0,10389.0,-0.44,23993
101.0,1009.0,147.0,10167.0,-0.004514000000085616,23993
101.0,1009.0,170.0,10679.0,148393.58,23993
101.0,1010.0,0.0,14278.0,0.01,23993
101.0,1010.0,102.0,14278.0,-0.01,23993
101.0,1012.0,0.0,10114.0,0.49,23993
101.0,1012.0,0.0,10116.0,-0.08,23993
101.0,1012.0,0.0,10153.0,0.28,23993
101.0,1012.0,0.0,10224.0,-0.35,23993
101.0,1012.0,0.0,10247.0,0.02,23993
101.0,1012.0,0.0,10385.0,0.46,23993
101.0,1012.0,0.0,10391.0,-0.42,23993
101.0,1012.0,0.0,10393.0,0.48,23993
101.0,1012.0,0.0,10506.0,-0.04,23993
101.0,1012.0,103.0,10116.0,0.08,23993
101.0,1012.0,103.0,10393.0,-0.48,23993
101.0,1012.0,111.0,10506.0,0.04,23993
101.0,1012.0,125.0,10391.0,0.42,23993
101.0,1012.0,128.0,10114.0,-0.49,23993
101.0,1012.0,139.0,10224.0,0.35,23993
101.0,1012.0,147.0,10153.0,-0.0037940000009939467,23993
101.0,1012.0,167.0,10385.0,-0.46,23993
101.0,1012.0,169.0,10124.0,0.00235,23993
101.0,1012.0,321.0,13855.0,2.91038304567337e-11,23993
101.0,1013.0,0.0,10150.0,0.42,23993
101.0,1013.0,0.0,10531.0,0.42,23993
101.0,1013.0,0.0,10696.0,0.22,23993
101.0,1013.0,103.0,10150.0,-0.42,23993
101.0,1013.0,137.0,10531.0,-0.42,23993
101.0,1013.0,147.0,10531.0,0.0007579999996778497,23993
101.0,1013.0,170.0,10678.0,115794.81,23993
101.0,1021.0,0.0,10295.0,0.12,23993
101.0,1021.0,0.0,10301.0,0.09,23993
101.0,1021.0,0.0,10306.0,-0.28,23993
101.0,1021.0,0.0,10323.0,0.28,23993
101.0,1021.0,0.0,10341.0,0.03,23993
101.0,1021.0,0.0,10344.0,0.29,23993
101.0,1021.0,0.0,10352.0,-0.07,23993
101.0,1021.0,0.0,10374.0,-0.46,23993
101.0,1021.0,0.0,10377.0,0.08,23993
101.0,1021.0,0.0,10379.0,-0.2,23993
101.0,1021.0,0.0,10459.0,-0.34,23993
101.0,1021.0,0.0,10511.0,0.41,23993
101.0,1021.0,0.0,10520.0,-0.12,23993
101.0,1021.0,0.0,10552.0,-0.05,23993
101.0,1021.0,0.0,10681.0,-0.46,23993
101.0,1021.0,0.0,10683.0,0.05,23993
101.0,1021.0,0.0,10687.0,-0.35,23993
